Model_ID,Cell_line_Name,COSMIC_ID,TCGA_Classfication,Tissue,Tissue_subtype
SIDM00259,NB10,949171,NB,nervous_system,neuroblastoma
SIDM00260,MKN28,908139,STAD,digestive_system,stomach
SIDM00261,ES8,949155,UNCLASSIFIED,bone,ewings_sarcoma
SIDM00263,ES5,684057,UNCLASSIFIED,bone,ewings_sarcoma
SIDM00264,ES4,949156,UNCLASSIFIED,bone,ewings_sarcoma
SIDM00266,ES1,949158,UNCLASSIFIED,bone,ewings_sarcoma
SIDM00267,TGBC24TKB,910695,UNCLASSIFIED,digestive_system,biliary_tract
SIDM00269,ES7,684059,UNCLASSIFIED,bone,ewings_sarcoma
SIDM00270,PCI-15A,1240204,HNSC,aero_digestive_tract,head_and_neck
SIDM00271,MKN1,908138,UNCLASSIFIED,digestive_system,stomach
SIDM00272,MDA-MB-453,908122,BRCA,breast,breast
SIDM00273,GI-1,906871,LGG,nervous_system,glioma
SIDM00274,GCIY,906869,STAD,digestive_system,stomach
SIDM00276,ETK-1,906861,UNCLASSIFIED,digestive_system,biliary_tract
SIDM00277,EoL-1-cell,906856,UNCLASSIFIED,blood,haematopoietic_neoplasm_other
SIDM00278,EC-GI-10,753555,ESCA,aero_digestive_tract,oesophagus
SIDM00279,ECC12,906849,UNCLASSIFIED,digestive_system,stomach
SIDM00280,ECC10,906848,UNCLASSIFIED,digestive_system,stomach
SIDM00281,DJM-1,906841,UNCLASSIFIED,skin,skin_other
SIDM00282,CW-2,910554,COREAD,digestive_system,large_intestine
SIDM00283,CTB-1,949088,DLBC,blood,B_cell_lymphoma
SIDM00284,COLO-679,906818,SKCM,skin,melanoma
SIDM00285,CHP-134,910941,NB,nervous_system,neuroblastoma
SIDM00286,CHP-126,910567,NB,nervous_system,neuroblastoma
SIDM00287,BALL-1,910705,UNCLASSIFIED,blood,B_cell_leukemia
SIDM00289,HAL-01,949153,ALL,blood,lymphoblastic_leukemia
SIDM00290,HGC-27,907055,STAD,digestive_system,stomach
SIDM00291,HMV-II,907058,SKCM,skin,melanoma
SIDM00292,LU-165,753589,SCLC,lung,lung_small_cell_carcinoma
SIDM00293,LU-139,713878,SCLC,lung,lung_small_cell_carcinoma
SIDM00294,LU-135,713899,SCLC,lung,lung_small_cell_carcinoma
SIDM00296,LU-134-A,753588,SCLC,lung,lung_small_cell_carcinoma
SIDM00297,LC-2-ad,907786,LUAD,lung,lung_NSCLC_adenocarcinoma
SIDM00299,MFH-ino,925343,UNCLASSIFIED,soft_tissue,soft_tissue_other
SIDM00301,KP-4,753572,PAAD,pancreas,pancreas
SIDM00302,KGN,924186,UNCLASSIFIED,urogenital_system,ovary
SIDM00303,JHOS-4,1480359,OV,urogenital_system,ovary
SIDM00304,JHOS-3,1480358,OV,urogenital_system,ovary
SIDM00305,JHOS-2,1479995,OV,urogenital_system,ovary
SIDM00306,IA-LM,910779,UNCLASSIFIED,lung,lung_NSCLC_large_cell
SIDM00308,KU812,907311,LCML,blood,chronic_myeloid_leukaemia
SIDM00312,L-363,924239,MM,blood,myeloma
SIDM00313,L-1236,1330935,UNCLASSIFIED,blood,Hodgkin_lymphoma
SIDM00315,YKG-1,687592,GBM,nervous_system,glioma
SIDM00316,YH-13,909905,GBM,nervous_system,glioma
SIDM00317,VMRC-RCZ,909781,KIRC,kidney,kidney
SIDM00321,TYK-nu,909774,UNCLASSIFIED,urogenital_system,ovary
SIDM00322,T-T,1299064,ESCA,aero_digestive_tract,oesophagus
SIDM00323,TK,1331045,DLBC,blood,B_cell_lymphoma
SIDM00324,TGW,910780,NB,nervous_system,neuroblastoma
SIDM00325,TE-9,946353,ESCA,aero_digestive_tract,oesophagus
SIDM00326,TE-8,753623,ESCA,aero_digestive_tract,oesophagus
SIDM00327,L-428,907322,UNCLASSIFIED,blood,Hodgkin_lymphoma
SIDM00328,TE-6,946355,ESCA,aero_digestive_tract,oesophagus
SIDM00329,L-540,907323,UNCLASSIFIED,blood,Hodgkin_lymphoma
SIDM00330,LAN-6,949170,NB,nervous_system,neuroblastoma
SIDM00331,MHH-CALL-2,908132,UNCLASSIFIED,blood,B_cell_leukemia
